V1	probe_id
904	NPTX1	204684_at
905	HAS2	206432_at
907	PTP4A1	200730_s_at
908	CHD9	212615_at
910	ACKR3	212977_at
912	MMP2	201069_at
914	FST	204948_s_at
915	ITGA1	214660_at
916	CEBPB	212501_at
917	TSPAN2	214606_at
918	EIF3C	200647_x_at
920	RET	205879_x_at
921	SMN1	203852_s_at
