V1	probe_id
810	NAA16	219378_at
812	ZNF580	220748_s_at
813	PAFAH1B3	203228_at
814	PTGS2	204748_at
815	RBFA	219419_at
817	MCUB	218802_at
818	GPN3	218461_at
820	WRAP53	220258_s_at
822	THAP9-AS1	215009_s_at
825	ADORA2B	205891_at
826	CEP41	215637_at
828	OGG1	205301_s_at
830	DCLRE1B	219490_s_at
831	ECSIT	218225_at
833	SCD5	220232_at
834	BCL7C	219072_at
835	RNF138	218738_s_at
836	METTL4	219698_s_at
837	LOC102724159	209336_at
838	PLD2	209643_s_at
839	METTL1	204027_s_at
840	PGAP2	215293_s_at
843	HIPK3	207764_s_at
844	CASP8AP2	222201_s_at
845	CUL9	213204_at
846	POLR3G	206653_at
848	DNMT3B	220668_s_at
849	DOC2A	205744_at
850	CHML	206079_at
852	SPTB	208416_s_at
853	SCML1	218793_s_at
854	NRF1	204651_at
856	SPC24	217183_at
857	CEP131	214742_at
858	UBE2S	202779_s_at
859	CDK19	211706_s_at
860	LRP4	212850_s_at
861	RPA3	209507_at
862	NKX2-5	206578_at
865	TTC21B	220064_at
866	NIBAN1	217966_s_at
868	NFIL3	203574_at
869	PIGB	205452_at
874	RAB3IL1	219579_at
875	MICALL2	219332_at
876	POLQ	207746_at
877	ALDH6A1	204289_at
878	ATP5F1D	203926_x_at
880	ALG6	219649_at
881	ISYNA1	222240_s_at
882	GSTCD	220063_at
884	NR4A2	204621_s_at
885	RASSF1	204346_s_at
886	CRMP1	202517_at
889	KLHL28	220374_at
890	SIPA1	204164_at
891	FAM216A	204521_at
892	CNNM4	218900_at
893	CEP70	219036_at
894	CPT2	204263_s_at
896	LSM2	209449_at
897	ING1	208415_x_at
899	C1QL1	205575_at
900	DHRS4	218021_at
901	JAK2	205841_at
903	NT5C	219214_s_at
905	PTP4A1	200730_s_at
906	MAP1A	203151_at
907	CHD9	212615_at
908	SAC3D1	205449_at
909	GFER	204659_s_at
911	CEBPB	212501_at
912	RAB5IF	217835_x_at
913	EIF3C	200647_x_at
915	MUC5B	213432_at
916	SMN1	203852_s_at
